"Plot_pair","Short","Long","pair_diff","rel_diff","FRI_shortonly","Slope_deg","Elev_m","Fire_year_2","TSF","Aspect_NE","ann_def_mm_norm","summer_vpd_kpa_norm","anom_def_mm","anom_def_zscore","anom_summer_vpd_kpa","anom_summer_vpd_zscore"
"Arrow",200,275,75,0.272727272727273,9,16.4271233736987,2316,1988,12,1.6819983600625,283.003333333333,0.976,15.2966666666667,0.196973189750351,-0.0404444444444444,-0.242782560211774
"Astringent",25,100,75,0.75,13,5.69658541802994,2496,1994,6,0.435137478536377,276.875,0.949388888888889,-73.9416666666667,-0.924500769805384,-0.121055555555555,-0.732353424747866
"Astringent_Tern_1_2",3166.66666666666,8900,5733.33333333334,0.644194756554308,13,12,2502.5,1994,27,1.94540028986422,283.433333333333,0.960777777777778,-70.9666666666667,-0.884412100177611,-0.121888888888889,-0.729697791536291
"Charcoal",475,2825,2350,0.831858407079646,9,1.14530502131927,2524.5,1988,12,1.81380581731949,292.223333333333,0.964222222222222,-0.256666666666661,-0.00320378864698219,-0.0664444444444444,-0.389163983596622
"Charcoal Bay",75,4875,4800,0.984615384615385,7,0,2380.5,1988,11,1.70710678118655,292.223333333333,0.964222222222222,-0.256666666666661,-0.00320378864698219,-0.0664444444444444,-0.389163983596622
"Clover_Dewdrop_2_3",566.666666666667,300,-266.666666666667,-0.888888888888892,24,8.15,2766.5,2012,9,1.73253801168273,244.816666666667,0.892666666666667,-10.9166666666667,-0.139645382040648,-0.00933333333333342,-0.06064622466623
"Clover_East_1_1",1433.33333333333,5000.00000000001,3566.66666666667,0.713333333333334,15,11.2,2427,2003,18,1.94260559819261,292.151666666667,0.966111111111111,2.38166666666666,0.0295786893420243,0.0783333333333333,0.464011268492103
"Clover_LeHardy_1_1",5999.99999999999,3233.33333333333,-2766.66666666666,-0.855670103092781,20,4.05,2553.5,2008,13,0.982643199671255,250.953333333333,0.901222222222222,-16.32,-0.208172996999833,-0.0901111111111111,-0.579821153575332
"Cygnet",675,13800,13125,0.951086956521739,28,5.9939458135486,2547,1988,12,1.93611680666286,262.636666666667,0.931333333333333,6.46333333333337,0.0826418365346264,-0.0468888888888889,-0.292606584933581
"Factory Hill",225,425,200,0.470588235294118,7,9.92600951891493,2405.5,1988,12,1.37361230700899,280.083333333333,0.959444444444444,0.616666666666674,0.00777232774501716,-0.0627777777777777,-0.372909772550114
"Forest Lake",2975,12025,9050,0.752598752598753,7,0,2296,1988,12,1.70710678118655,300.54,1.03,1.06,0.0127690528887538,-0.0688888888888889,-0.38784076416511
"Gallatin",150,675,525,0.777777777777778,9,1.71818644040682,2337.5,1988,12,0.398184976847952,286.63,1.002,21.5366666666667,0.268754828010448,-0.0442222222222222,-0.259954670125304
"Glade_Berry_1_1",2866.66666666667,2100,-766.66666666667,-0.365079365079367,16,5.9,2156,2016,5,0.0751432738282828,305.488333333333,1.08005555555556,-6.27166666666665,-0.073482572240724,0.0599444444444445,0.322431197754696
"Glade_Berry_4_4",1366.66666666666,134100,132733.333333333,0.989808600546856,16,3.65,2171,2016,5,1.28952636339047,305.488333333333,1.08005555555556,-6.27166666666665,-0.073482572240724,0.0599444444444445,0.322431197754696
"Heart Lake N",125,2250,2125,0.944444444444444,9,3.43328908341057,2301.5,1988,12,1.9792359889652,289.013333333333,0.9825,-0.079999999999985,-0.0018818520357603,-0.0652777777777779,-0.382031757666497
"Hellroaring_Buffalo_3_2",1333.33333333333,766.666666666666,-566.666666666667,-0.739130434782609,28,8.1,2437.5,2016,5,0.792594771611468,246.046666666667,0.924888888888889,-32.1466666666667,-0.419350455129196,0.044,0.279738733718313
"Huck_Berry_1_2",2133.33333333334,5333.33333333334,3200,0.6,28,20.95,2283.5,2016,5,1.6544609021693,300.783333333333,1.05744444444444,-2.31666666666666,-0.0282464747952444,0.058111111111111,0.318204709917404
"Huck_Berry_2_1",1400,198233.333333333,196833.333333333,0.992937615604506,28,15.2,2300,2016,5,0.104409169155692,300.783333333333,1.05744444444444,-2.31666666666666,-0.0282464747952444,0.058111111111111,0.318204709917404
"IronMountain_Derby_1_1",1366.66666666667,10233.3333333333,8866.66666666667,0.866449511400652,16,17.7,1814,2006,15,1.3583679495453,383.706666666667,1.10288888888889,2.89333333333332,0.028576489926541,0.0593333333333335,0.33289438081888
"IronMountain_Derby_1_5",1233.33333333333,14933.3333333333,13700,0.917410714285714,16,13.95,1842.5,2006,15,1.92846617523872,383.706666666667,1.10288888888889,2.89333333333332,0.028576489926541,0.0593333333333335,0.33289438081888
"Madison Junct",14825,49200,34375,0.698678861788618,28,0,2206,1988,12,1.70710678118655,294.866666666667,1.02888888888889,12.4,0.156961146514338,-0.0522222222222223,-0.29719671588518
"Mystic_BearpawBay_1_1",3333.33333333333,11466.6666666667,8133.33333333333,0.709302325581395,28,4.6,2137,2009,12,1.99558784319795,345.693333333333,1.13233333333333,48.5733333333334,0.541146196306389,0.012111111111111,0.0620304799912704
"Mystic_BearpawBay_2_3",2066.66666666666,148000,145933.333333333,0.986036036036036,28,4.05,2125,2009,12,1.9732864123523,345.693333333333,1.13233333333333,48.5733333333334,0.541146196306389,0.012111111111111,0.0620304799912704
"NorthFork_Cygnet_1_1",3433.33333333333,4733.33333333333,1300,0.274647887323943,24,4.15,2516,2012,9,1.51472432763068,262.636666666667,0.931333333333333,-14.7366666666667,-0.188426796967293,-0.00911111111111107,-0.0568572037074729
"NorthFork_Cygnet_2_2",5066.66666666667,7933.33333333333,2866.66666666666,0.361344537815125,24,6,2512.5,2012,9,0.931525149151313,262.636666666667,0.931333333333333,-14.7366666666667,-0.188426796967293,-0.00911111111111107,-0.0568572037074729
"NorthFork_Maple_4_4",12233.3333333333,137233.333333333,125000,0.910857420451785,28,10.15,2139.5,2016,5,1.87747013300516,347.343333333333,1.25744444444444,-21.5433333333334,-0.258074952565389,0.0669999999999999,0.346655913765916
"NorthFork_Maple_6_6",10466.6666666667,147433.333333333,136966.666666667,0.929007460999321,28,4.95,2110.5,2016,5,1.40172904005877,347.343333333333,1.25744444444444,-21.5433333333334,-0.258074952565389,0.0669999999999999,0.346655913765916
"NorthFork_Owl_2_1",1333.33333333333,2533.33333333334,1200,0.473684210526317,19,23.7,2354.5,2007,14,0.493408298394853,266.14,0.950888888888889,-12.8066666666667,-0.162249023816564,-0.0564444444444444,-0.354629999915824
"Pelican_LeHardy_1_5",10766.6666666667,3266.66666666667,-7499.99999999999,-2.29591836734693,12,12.3,2535,2008,13,0.0469222589034794,260.06,0.920444444444445,-20.86,-0.262457947732684,-0.0926666666666667,-0.581225573002617
"Rathbone_BaconRind_1_5",1700,1733.33333333334,33.333333333333,0.019230769230769,15,18.4,2233,2018,3,1.98106026219041,290.403333333333,1.01677777777778,1.09666666666664,0.013665375914294,0.0443333333333333,0.259446372815236
"Waterfalls_Moran_1_1",500,833.333333333334,333.333333333334,0.4,26,6.4,2089.5,2000,21,1.52596932639527,309.933333333333,1.06,53.3333333333334,0.630617713493675,0.155555555555555,0.848750956331593
"WestYell",275,5000,4725,0.945,27,0,2026,1988,12,1.70710678118655,343.051666666667,1.24194444444444,13.5983333333333,0.157926779740303,-0.0608333333333334,-0.3127076308584
"Wilcox_Berry_1_1",466.666666666666,6666.66666666667,6200,0.93,16,9.8,2135.5,2016,5,1.46159038351771,294.41,1.02633333333333,0.956666666666649,0.0118790142900666,0.0603333333333333,0.341803904652802
