"Plot_code","SF","Fuel_type","Count"
"Waterfalls_Moran_1_1_short_0","1","1h",2
"Waterfalls_Moran_1_1_short_0","1","10h",1
"Waterfalls_Moran_1_1_short_0","1","100h",1
"Waterfalls_Moran_1_1_short_0","2","1h",10
"Waterfalls_Moran_1_1_short_0","2","10h",1
"Waterfalls_Moran_1_1_short_0","2","100h",0
"Waterfalls_Moran_1_1_short_0","3","1h",0
"Waterfalls_Moran_1_1_short_0","3","10h",3
"Waterfalls_Moran_1_1_short_0","3","100h",4
"Waterfalls_Moran_1_1_short_0","4","1h",0
"Waterfalls_Moran_1_1_short_0","4","10h",0
"Waterfalls_Moran_1_1_short_0","4","100h",3
"Waterfalls_Moran_1_1_short_0","5","1h",0
"Waterfalls_Moran_1_1_short_0","5","10h",0
"Waterfalls_Moran_1_1_short_0","5","100h",0
"Waterfalls_Moran_1_1_long_3","1","1h",9
"Waterfalls_Moran_1_1_long_3","1","10h",19
"Waterfalls_Moran_1_1_long_3","1","100h",3
"Waterfalls_Moran_1_1_long_3","2","1h",21
"Waterfalls_Moran_1_1_long_3","2","10h",21
"Waterfalls_Moran_1_1_long_3","2","100h",8
"Waterfalls_Moran_1_1_long_3","3","1h",2
"Waterfalls_Moran_1_1_long_3","3","10h",5
"Waterfalls_Moran_1_1_long_3","3","100h",26
"Waterfalls_Moran_1_1_long_3","4","1h",0
"Waterfalls_Moran_1_1_long_3","4","10h",0
"Waterfalls_Moran_1_1_long_3","4","100h",2
"Waterfalls_Moran_1_1_long_3","5","1h",0
"Waterfalls_Moran_1_1_long_3","5","10h",15
"Waterfalls_Moran_1_1_long_3","5","100h",21
"Glade_Berry_1_1_short_0","1","1h",16
"Glade_Berry_1_1_short_0","1","10h",3
"Glade_Berry_1_1_short_0","1","100h",3
"Glade_Berry_1_1_short_0","2","1h",0
"Glade_Berry_1_1_short_0","2","10h",0
"Glade_Berry_1_1_short_0","2","100h",2
"Glade_Berry_1_1_short_0","3","1h",1
"Glade_Berry_1_1_short_0","3","10h",1
"Glade_Berry_1_1_short_0","3","100h",1
"Glade_Berry_1_1_short_0","4","1h",5
"Glade_Berry_1_1_short_0","4","10h",1
"Glade_Berry_1_1_short_0","4","100h",4
"Glade_Berry_1_1_short_0","5","1h",0
"Glade_Berry_1_1_short_0","5","10h",0
"Glade_Berry_1_1_short_0","5","100h",2
"Glade_Berry_1_1_long_2","1","1h",2
"Glade_Berry_1_1_long_2","1","10h",0
"Glade_Berry_1_1_long_2","1","100h",5
"Glade_Berry_1_1_long_2","2","1h",0
"Glade_Berry_1_1_long_2","2","10h",1
"Glade_Berry_1_1_long_2","2","100h",1
"Glade_Berry_1_1_long_2","3","1h",0
"Glade_Berry_1_1_long_2","3","10h",1
"Glade_Berry_1_1_long_2","3","100h",4
"Glade_Berry_1_1_long_2","4","1h",0
"Glade_Berry_1_1_long_2","4","10h",0
"Glade_Berry_1_1_long_2","4","100h",1
"Glade_Berry_1_1_long_2","5","1h",1
"Glade_Berry_1_1_long_2","5","10h",0
"Glade_Berry_1_1_long_2","5","100h",4
"Glade_Berry_4_4_short_0","1","1h",0
"Glade_Berry_4_4_short_0","1","10h",1
"Glade_Berry_4_4_short_0","1","100h",1
"Glade_Berry_4_4_short_0","2","1h",9
"Glade_Berry_4_4_short_0","2","10h",4
"Glade_Berry_4_4_short_0","2","100h",3
"Glade_Berry_4_4_short_0","3","1h",5
"Glade_Berry_4_4_short_0","3","10h",4
"Glade_Berry_4_4_short_0","3","100h",4
"Glade_Berry_4_4_short_0","4","1h",0
"Glade_Berry_4_4_short_0","4","10h",4
"Glade_Berry_4_4_short_0","4","100h",5
"Glade_Berry_4_4_short_0","5","1h",1
"Glade_Berry_4_4_short_0","5","10h",1
"Glade_Berry_4_4_short_0","5","100h",2
"Glade_Berry_4_4_long_2","1","1h",1
"Glade_Berry_4_4_long_2","1","10h",1
"Glade_Berry_4_4_long_2","1","100h",2
"Glade_Berry_4_4_long_2","2","1h",2
"Glade_Berry_4_4_long_2","2","10h",0
"Glade_Berry_4_4_long_2","2","100h",1
"Glade_Berry_4_4_long_2","3","1h",3
"Glade_Berry_4_4_long_2","3","10h",7
"Glade_Berry_4_4_long_2","3","100h",3
"Glade_Berry_4_4_long_2","4","1h",0
"Glade_Berry_4_4_long_2","4","10h",0
"Glade_Berry_4_4_long_2","4","100h",2
"Glade_Berry_4_4_long_2","5","1h",1
"Glade_Berry_4_4_long_2","5","10h",0
"Glade_Berry_4_4_long_2","5","100h",0
"Huck_Berry_2_1_short_0","1","1h",12
"Huck_Berry_2_1_short_0","1","10h",4
"Huck_Berry_2_1_short_0","1","100h",7
"Huck_Berry_2_1_short_0","2","1h",22
"Huck_Berry_2_1_short_0","2","10h",7
"Huck_Berry_2_1_short_0","2","100h",6
"Huck_Berry_2_1_short_0","3","1h",0
"Huck_Berry_2_1_short_0","3","10h",2
"Huck_Berry_2_1_short_0","3","100h",12
"Huck_Berry_2_1_short_0","4","1h",0
"Huck_Berry_2_1_short_0","4","10h",1
"Huck_Berry_2_1_short_0","4","100h",5
"Huck_Berry_2_1_short_0","5","1h",6
"Huck_Berry_2_1_short_0","5","10h",2
"Huck_Berry_2_1_short_0","5","100h",6
"Huck_Berry_2_1_long_1","1","1h",12
"Huck_Berry_2_1_long_1","1","10h",0
"Huck_Berry_2_1_long_1","1","100h",3
"Huck_Berry_2_1_long_1","2","1h",4
"Huck_Berry_2_1_long_1","2","10h",1
"Huck_Berry_2_1_long_1","2","100h",1
"Huck_Berry_2_1_long_1","3","1h",8
"Huck_Berry_2_1_long_1","3","10h",2
"Huck_Berry_2_1_long_1","3","100h",3
"Huck_Berry_2_1_long_1","4","1h",6
"Huck_Berry_2_1_long_1","4","10h",5
"Huck_Berry_2_1_long_1","4","100h",1
"Huck_Berry_2_1_long_1","5","1h",6
"Huck_Berry_2_1_long_1","5","10h",2
"Huck_Berry_2_1_long_1","5","100h",1
"Huck_Berry_1_2_short_0","1","1h",19
"Huck_Berry_1_2_short_0","1","10h",5
"Huck_Berry_1_2_short_0","1","100h",6
"Huck_Berry_1_2_short_0","2","1h",4
"Huck_Berry_1_2_short_0","2","10h",3
"Huck_Berry_1_2_short_0","2","100h",5
"Huck_Berry_1_2_short_0","3","1h",23
"Huck_Berry_1_2_short_0","3","10h",12
"Huck_Berry_1_2_short_0","3","100h",6
"Huck_Berry_1_2_short_0","4","1h",3
"Huck_Berry_1_2_short_0","4","10h",1
"Huck_Berry_1_2_short_0","4","100h",3
"Huck_Berry_1_2_short_0","5","1h",0
"Huck_Berry_1_2_short_0","5","10h",0
"Huck_Berry_1_2_short_0","5","100h",2
"Huck_Berry_1_2_long_2","1","1h",14
"Huck_Berry_1_2_long_2","1","10h",1
"Huck_Berry_1_2_long_2","1","100h",0
"Huck_Berry_1_2_long_2","2","1h",2
"Huck_Berry_1_2_long_2","2","10h",0
"Huck_Berry_1_2_long_2","2","100h",1
"Huck_Berry_1_2_long_2","3","1h",0
"Huck_Berry_1_2_long_2","3","10h",0
"Huck_Berry_1_2_long_2","3","100h",1
"Huck_Berry_1_2_long_2","4","1h",13
"Huck_Berry_1_2_long_2","4","10h",0
"Huck_Berry_1_2_long_2","4","100h",4
"Huck_Berry_1_2_long_2","5","1h",3
"Huck_Berry_1_2_long_2","5","10h",0
"Huck_Berry_1_2_long_2","5","100h",4
"Mystic_BearpawBay_2_3_short_0","1","1h",1
"Mystic_BearpawBay_2_3_short_0","1","10h",10
"Mystic_BearpawBay_2_3_short_0","1","100h",9
"Mystic_BearpawBay_2_3_short_0","2","1h",3
"Mystic_BearpawBay_2_3_short_0","2","10h",1
"Mystic_BearpawBay_2_3_short_0","2","100h",16
"Mystic_BearpawBay_2_3_short_0","3","1h",3
"Mystic_BearpawBay_2_3_short_0","3","10h",13
"Mystic_BearpawBay_2_3_short_0","3","100h",8
"Mystic_BearpawBay_2_3_short_0","4","1h",4
"Mystic_BearpawBay_2_3_short_0","4","10h",4
"Mystic_BearpawBay_2_3_short_0","4","100h",7
"Mystic_BearpawBay_2_3_short_0","5","1h",1
"Mystic_BearpawBay_2_3_short_0","5","10h",4
"Mystic_BearpawBay_2_3_short_0","5","100h",24
"Mystic_BearpawBay_2_3_long_3","1","1h",11
"Mystic_BearpawBay_2_3_long_3","1","10h",11
"Mystic_BearpawBay_2_3_long_3","1","100h",8
"Mystic_BearpawBay_2_3_long_3","2","1h",7
"Mystic_BearpawBay_2_3_long_3","2","10h",6
"Mystic_BearpawBay_2_3_long_3","2","100h",5
"Mystic_BearpawBay_2_3_long_3","3","1h",5
"Mystic_BearpawBay_2_3_long_3","3","10h",1
"Mystic_BearpawBay_2_3_long_3","3","100h",4
"Mystic_BearpawBay_2_3_long_3","4","1h",10
"Mystic_BearpawBay_2_3_long_3","4","10h",4
"Mystic_BearpawBay_2_3_long_3","4","100h",7
"Mystic_BearpawBay_2_3_long_3","5","1h",2
"Mystic_BearpawBay_2_3_long_3","5","10h",0
"Mystic_BearpawBay_2_3_long_3","5","100h",4
"NFork_Maple_4_4_short_0","1","1h",2
"NFork_Maple_4_4_short_0","1","10h",1
"NFork_Maple_4_4_short_0","1","100h",11
"NFork_Maple_4_4_short_0","2","1h",15
"NFork_Maple_4_4_short_0","2","10h",3
"NFork_Maple_4_4_short_0","2","100h",1
"NFork_Maple_4_4_short_0","3","1h",2
"NFork_Maple_4_4_short_0","3","10h",2
"NFork_Maple_4_4_short_0","3","100h",11
"NFork_Maple_4_4_short_0","4","1h",24
"NFork_Maple_4_4_short_0","4","10h",11
"NFork_Maple_4_4_short_0","4","100h",7
"NFork_Maple_4_4_short_0","5","1h",0
"NFork_Maple_4_4_short_0","5","10h",5
"NFork_Maple_4_4_short_0","5","100h",4
"NFork_Maple_4_4_long_1","1","1h",46
"NFork_Maple_4_4_long_1","1","10h",20
"NFork_Maple_4_4_long_1","1","100h",9
"NFork_Maple_4_4_long_1","2","1h",2
"NFork_Maple_4_4_long_1","2","10h",0
"NFork_Maple_4_4_long_1","2","100h",4
"NFork_Maple_4_4_long_1","3","1h",16
"NFork_Maple_4_4_long_1","3","10h",6
"NFork_Maple_4_4_long_1","3","100h",8
"NFork_Maple_4_4_long_1","4","1h",6
"NFork_Maple_4_4_long_1","4","10h",6
"NFork_Maple_4_4_long_1","4","100h",4
"NFork_Maple_4_4_long_1","5","1h",3
"NFork_Maple_4_4_long_1","5","10h",1
"NFork_Maple_4_4_long_1","5","100h",4
"NFork_Maple_6_6_short_0","1","1h",3
"NFork_Maple_6_6_short_0","1","10h",10
"NFork_Maple_6_6_short_0","1","100h",8
"NFork_Maple_6_6_short_0","2","1h",7
"NFork_Maple_6_6_short_0","2","10h",7
"NFork_Maple_6_6_short_0","2","100h",0
"NFork_Maple_6_6_short_0","3","1h",11
"NFork_Maple_6_6_short_0","3","10h",11
"NFork_Maple_6_6_short_0","3","100h",2
"NFork_Maple_6_6_short_0","4","1h",2
"NFork_Maple_6_6_short_0","4","10h",3
"NFork_Maple_6_6_short_0","4","100h",6
"NFork_Maple_6_6_short_0","5","1h",9
"NFork_Maple_6_6_short_0","5","10h",9
"NFork_Maple_6_6_short_0","5","100h",2
"NFork_Maple_6_6_long_1","1","1h",15
"NFork_Maple_6_6_long_1","1","10h",0
"NFork_Maple_6_6_long_1","1","100h",5
"NFork_Maple_6_6_long_1","2","1h",8
"NFork_Maple_6_6_long_1","2","10h",1
"NFork_Maple_6_6_long_1","2","100h",1
"NFork_Maple_6_6_long_1","3","1h",17
"NFork_Maple_6_6_long_1","3","10h",2
"NFork_Maple_6_6_long_1","3","100h",2
"NFork_Maple_6_6_long_1","4","1h",50
"NFork_Maple_6_6_long_1","4","10h",12
"NFork_Maple_6_6_long_1","4","100h",3
"NFork_Maple_6_6_long_1","5","1h",23
"NFork_Maple_6_6_long_1","5","10h",3
"NFork_Maple_6_6_long_1","5","100h",2
"Pelican_LeHardy_1_5_short_0","1","1h",0
"Pelican_LeHardy_1_5_short_0","1","10h",1
"Pelican_LeHardy_1_5_short_0","1","100h",5
"Pelican_LeHardy_1_5_short_0","2","1h",8
"Pelican_LeHardy_1_5_short_0","2","10h",2
"Pelican_LeHardy_1_5_short_0","2","100h",3
"Pelican_LeHardy_1_5_short_0","3","1h",2
"Pelican_LeHardy_1_5_short_0","3","10h",2
"Pelican_LeHardy_1_5_short_0","3","100h",3
"Pelican_LeHardy_1_5_short_0","4","1h",3
"Pelican_LeHardy_1_5_short_0","4","10h",0
"Pelican_LeHardy_1_5_short_0","4","100h",2
"Pelican_LeHardy_1_5_short_0","5","1h",5
"Pelican_LeHardy_1_5_short_0","5","10h",3
"Pelican_LeHardy_1_5_short_0","5","100h",2
"Pelican_LeHardy_1_5_long_1","1","1h",52
"Pelican_LeHardy_1_5_long_1","1","10h",8
"Pelican_LeHardy_1_5_long_1","1","100h",5
"Pelican_LeHardy_1_5_long_1","2","1h",38
"Pelican_LeHardy_1_5_long_1","2","10h",4
"Pelican_LeHardy_1_5_long_1","2","100h",9
"Pelican_LeHardy_1_5_long_1","3","1h",23
"Pelican_LeHardy_1_5_long_1","3","10h",2
"Pelican_LeHardy_1_5_long_1","3","100h",4
"Pelican_LeHardy_1_5_long_1","4","1h",26
"Pelican_LeHardy_1_5_long_1","4","10h",2
"Pelican_LeHardy_1_5_long_1","4","100h",3
"Pelican_LeHardy_1_5_long_1","5","1h",19
"Pelican_LeHardy_1_5_long_1","5","10h",7
"Pelican_LeHardy_1_5_long_1","5","100h",6
"NFork_Cygnet_1_1_short_0","1","1h",2
"NFork_Cygnet_1_1_short_0","1","10h",1
"NFork_Cygnet_1_1_short_0","1","100h",4
"NFork_Cygnet_1_1_short_0","2","1h",0
"NFork_Cygnet_1_1_short_0","2","10h",0
"NFork_Cygnet_1_1_short_0","2","100h",6
"NFork_Cygnet_1_1_short_0","3","1h",3
"NFork_Cygnet_1_1_short_0","3","10h",3
"NFork_Cygnet_1_1_short_0","3","100h",4
"NFork_Cygnet_1_1_short_0","4","1h",2
"NFork_Cygnet_1_1_short_0","4","10h",2
"NFork_Cygnet_1_1_short_0","4","100h",13
"NFork_Cygnet_1_1_short_0","5","1h",2
"NFork_Cygnet_1_1_short_0","5","10h",15
"NFork_Cygnet_1_1_short_0","5","100h",13
"NFork_Cygnet_1_1_long_3","1","1h",1
"NFork_Cygnet_1_1_long_3","1","10h",0
"NFork_Cygnet_1_1_long_3","1","100h",0
"NFork_Cygnet_1_1_long_3","2","1h",2
"NFork_Cygnet_1_1_long_3","2","10h",1
"NFork_Cygnet_1_1_long_3","2","100h",2
"NFork_Cygnet_1_1_long_3","3","1h",0
"NFork_Cygnet_1_1_long_3","3","10h",1
"NFork_Cygnet_1_1_long_3","3","100h",6
"NFork_Cygnet_1_1_long_3","4","1h",5
"NFork_Cygnet_1_1_long_3","4","10h",12
"NFork_Cygnet_1_1_long_3","4","100h",3
"NFork_Cygnet_1_1_long_3","5","1h",2
"NFork_Cygnet_1_1_long_3","5","10h",1
"NFork_Cygnet_1_1_long_3","5","100h",2
"NFork_Cygnet_2_2_short_0","1","1h",11
"NFork_Cygnet_2_2_short_0","1","10h",8
"NFork_Cygnet_2_2_short_0","1","100h",3
"NFork_Cygnet_2_2_short_0","2","1h",5
"NFork_Cygnet_2_2_short_0","2","10h",10
"NFork_Cygnet_2_2_short_0","2","100h",12
"NFork_Cygnet_2_2_short_0","3","1h",45
"NFork_Cygnet_2_2_short_0","3","10h",3
"NFork_Cygnet_2_2_short_0","3","100h",4
"NFork_Cygnet_2_2_short_0","4","1h",8
"NFork_Cygnet_2_2_short_0","4","10h",5
"NFork_Cygnet_2_2_short_0","4","100h",17
"NFork_Cygnet_2_2_short_0","5","1h",8
"NFork_Cygnet_2_2_short_0","5","10h",8
"NFork_Cygnet_2_2_short_0","5","100h",14
"NFork_Cygnet_2_2_long_2","1","1h",13
"NFork_Cygnet_2_2_long_2","1","10h",1
"NFork_Cygnet_2_2_long_2","1","100h",1
"NFork_Cygnet_2_2_long_2","2","1h",13
"NFork_Cygnet_2_2_long_2","2","10h",2
"NFork_Cygnet_2_2_long_2","2","100h",1
