"Plot_code","SF","Fuel_type","Count"
"NFork_Cygnet_2_2_long_2","3","1h",9
"NFork_Cygnet_2_2_long_2","3","10h",4
"NFork_Cygnet_2_2_long_2","3","100h",8
"NFork_Cygnet_2_2_long_2","4","1h",1
"NFork_Cygnet_2_2_long_2","4","10h",3
"NFork_Cygnet_2_2_long_2","4","100h",4
"NFork_Cygnet_2_2_long_2","5","1h",2
"NFork_Cygnet_2_2_long_2","5","10h",2
"NFork_Cygnet_2_2_long_2","5","100h",1
"NFork_Owl_2_1_short_0","1","1h",2
"NFork_Owl_2_1_short_0","1","10h",1
"NFork_Owl_2_1_short_0","1","100h",8
"NFork_Owl_2_1_short_0","2","1h",7
"NFork_Owl_2_1_short_0","2","10h",0
"NFork_Owl_2_1_short_0","2","100h",5
"NFork_Owl_2_1_short_0","3","1h",3
"NFork_Owl_2_1_short_0","3","10h",2
"NFork_Owl_2_1_short_0","3","100h",6
"NFork_Owl_2_1_short_0","4","1h",5
"NFork_Owl_2_1_short_0","4","10h",2
"NFork_Owl_2_1_short_0","4","100h",2
"NFork_Owl_2_1_short_0","5","1h",2
"NFork_Owl_2_1_short_0","5","10h",0
"NFork_Owl_2_1_short_0","5","100h",6
"NFork_Owl_2_1_long_1","1","1h",9
"NFork_Owl_2_1_long_1","1","10h",4
"NFork_Owl_2_1_long_1","1","100h",6
"NFork_Owl_2_1_long_1","2","1h",12
"NFork_Owl_2_1_long_1","2","10h",4
"NFork_Owl_2_1_long_1","2","100h",5
"NFork_Owl_2_1_long_1","3","1h",5
"NFork_Owl_2_1_long_1","3","10h",14
"NFork_Owl_2_1_long_1","3","100h",5
"NFork_Owl_2_1_long_1","4","1h",1
"NFork_Owl_2_1_long_1","4","10h",2
"NFork_Owl_2_1_long_1","4","100h",0
"NFork_Owl_2_1_long_1","5","1h",12
"NFork_Owl_2_1_long_1","5","10h",11
"NFork_Owl_2_1_long_1","5","100h",4
"Clover_LeHardy_1_1_short_0","1","1h",7
"Clover_LeHardy_1_1_short_0","1","10h",2
"Clover_LeHardy_1_1_short_0","1","100h",5
"Clover_LeHardy_1_1_short_0","2","1h",1
"Clover_LeHardy_1_1_short_0","2","10h",1
"Clover_LeHardy_1_1_short_0","2","100h",2
"Clover_LeHardy_1_1_short_0","3","1h",5
"Clover_LeHardy_1_1_short_0","3","10h",2
"Clover_LeHardy_1_1_short_0","3","100h",5
"Clover_LeHardy_1_1_short_0","4","1h",1
"Clover_LeHardy_1_1_short_0","4","10h",1
"Clover_LeHardy_1_1_short_0","4","100h",3
"Clover_LeHardy_1_1_short_0","5","1h",5
"Clover_LeHardy_1_1_short_0","5","10h",4
"Clover_LeHardy_1_1_short_0","5","100h",6
"Clover_LeHardy_1_1_long_2","1","1h",0
"Clover_LeHardy_1_1_long_2","1","10h",0
"Clover_LeHardy_1_1_long_2","1","100h",3
"Clover_LeHardy_1_1_long_2","2","1h",5
"Clover_LeHardy_1_1_long_2","2","10h",3
"Clover_LeHardy_1_1_long_2","2","100h",1
"Clover_LeHardy_1_1_long_2","3","1h",2
"Clover_LeHardy_1_1_long_2","3","10h",4
"Clover_LeHardy_1_1_long_2","3","100h",2
"Clover_LeHardy_1_1_long_2","4","1h",7
"Clover_LeHardy_1_1_long_2","4","10h",8
"Clover_LeHardy_1_1_long_2","4","100h",1
"Clover_LeHardy_1_1_long_2","5","1h",9
"Clover_LeHardy_1_1_long_2","5","10h",12
"Clover_LeHardy_1_1_long_2","5","100h",11
"Clover_Dewdrop_2_3_short_0","1","1h",2
"Clover_Dewdrop_2_3_short_0","1","10h",0
"Clover_Dewdrop_2_3_short_0","1","100h",2
"Clover_Dewdrop_2_3_short_0","2","1h",1
"Clover_Dewdrop_2_3_short_0","2","10h",0
"Clover_Dewdrop_2_3_short_0","2","100h",0
"Clover_Dewdrop_2_3_short_0","3","1h",0
"Clover_Dewdrop_2_3_short_0","3","10h",0
"Clover_Dewdrop_2_3_short_0","3","100h",3
"Clover_Dewdrop_2_3_short_0","4","1h",2
"Clover_Dewdrop_2_3_short_0","4","10h",1
"Clover_Dewdrop_2_3_short_0","4","100h",1
"Clover_Dewdrop_2_3_short_0","5","1h",5
"Clover_Dewdrop_2_3_short_0","5","10h",3
"Clover_Dewdrop_2_3_short_0","5","100h",1
"Clover_Dewdrop_2_3_long_1","1","1h",13
"Clover_Dewdrop_2_3_long_1","1","10h",1
"Clover_Dewdrop_2_3_long_1","1","100h",0
"Clover_Dewdrop_2_3_long_1","2","1h",3
"Clover_Dewdrop_2_3_long_1","2","10h",19
"Clover_Dewdrop_2_3_long_1","2","100h",2
"Clover_Dewdrop_2_3_long_1","3","1h",3
"Clover_Dewdrop_2_3_long_1","3","10h",2
"Clover_Dewdrop_2_3_long_1","3","100h",1
"Clover_Dewdrop_2_3_long_1","4","1h",26
"Clover_Dewdrop_2_3_long_1","4","10h",9
"Clover_Dewdrop_2_3_long_1","4","100h",2
"Clover_Dewdrop_2_3_long_1","5","1h",10
"Clover_Dewdrop_2_3_long_1","5","10h",3
"Clover_Dewdrop_2_3_long_1","5","100h",0
"Astringent_Tern_1_2_short_0","1","1h",0
"Astringent_Tern_1_2_short_0","1","10h",0
"Astringent_Tern_1_2_short_0","1","100h",2
"Astringent_Tern_1_2_short_0","2","1h",0
"Astringent_Tern_1_2_short_0","2","10h",0
"Astringent_Tern_1_2_short_0","2","100h",2
"Astringent_Tern_1_2_short_0","3","1h",0
"Astringent_Tern_1_2_short_0","3","10h",0
"Astringent_Tern_1_2_short_0","3","100h",0
"Astringent_Tern_1_2_short_0","4","1h",0
"Astringent_Tern_1_2_short_0","4","10h",0
"Astringent_Tern_1_2_short_0","4","100h",1
"Astringent_Tern_1_2_short_0","5","1h",0
"Astringent_Tern_1_2_short_0","5","10h",0
"Astringent_Tern_1_2_short_0","5","100h",1
"Astringent_Tern_1_2_long_2","1","1h",3
"Astringent_Tern_1_2_long_2","1","10h",9
"Astringent_Tern_1_2_long_2","1","100h",3
"Astringent_Tern_1_2_long_2","2","1h",1
"Astringent_Tern_1_2_long_2","2","10h",1
"Astringent_Tern_1_2_long_2","2","100h",0
"Astringent_Tern_1_2_long_2","3","1h",1
"Astringent_Tern_1_2_long_2","3","10h",1
"Astringent_Tern_1_2_long_2","3","100h",4
"Astringent_Tern_1_2_long_2","4","1h",1
"Astringent_Tern_1_2_long_2","4","10h",3
"Astringent_Tern_1_2_long_2","4","100h",2
"Astringent_Tern_1_2_long_2","5","1h",0
"Astringent_Tern_1_2_long_2","5","10h",11
"Astringent_Tern_1_2_long_2","5","100h",8
"Clover_East_1_1_short_0","1","1h",0
"Clover_East_1_1_short_0","1","10h",0
"Clover_East_1_1_short_0","1","100h",7
"Clover_East_1_1_short_0","2","1h",1
"Clover_East_1_1_short_0","2","10h",2
"Clover_East_1_1_short_0","2","100h",2
"Clover_East_1_1_short_0","3","1h",1
"Clover_East_1_1_short_0","3","10h",3
"Clover_East_1_1_short_0","3","100h",1
"Clover_East_1_1_short_0","4","1h",0
"Clover_East_1_1_short_0","4","10h",10
"Clover_East_1_1_short_0","4","100h",0
"Clover_East_1_1_short_0","5","1h",0
"Clover_East_1_1_short_0","5","10h",0
"Clover_East_1_1_short_0","5","100h",1
"Clover_East_1_1_long_1","1","1h",8
"Clover_East_1_1_long_1","1","10h",4
"Clover_East_1_1_long_1","1","100h",6
"Clover_East_1_1_long_1","2","1h",2
"Clover_East_1_1_long_1","2","10h",6
"Clover_East_1_1_long_1","2","100h",3
"Clover_East_1_1_long_1","3","1h",1
"Clover_East_1_1_long_1","3","10h",1
"Clover_East_1_1_long_1","3","100h",1
"Clover_East_1_1_long_1","4","1h",3
"Clover_East_1_1_long_1","4","10h",3
"Clover_East_1_1_long_1","4","100h",4
"Clover_East_1_1_long_1","5","1h",5
"Clover_East_1_1_long_1","5","10h",3
"Clover_East_1_1_long_1","5","100h",6
"Rathbone_BaconRind_1_5_short_0","1","1h",0
"Rathbone_BaconRind_1_5_short_0","1","10h",1
"Rathbone_BaconRind_1_5_short_0","1","100h",0
"Rathbone_BaconRind_1_5_short_0","2","1h",9
"Rathbone_BaconRind_1_5_short_0","2","10h",2
"Rathbone_BaconRind_1_5_short_0","2","100h",3
"Rathbone_BaconRind_1_5_short_0","3","1h",0
"Rathbone_BaconRind_1_5_short_0","3","10h",3
"Rathbone_BaconRind_1_5_short_0","3","100h",0
"Rathbone_BaconRind_1_5_short_0","4","1h",14
"Rathbone_BaconRind_1_5_short_0","4","10h",2
"Rathbone_BaconRind_1_5_short_0","4","100h",3
"Rathbone_BaconRind_1_5_short_0","5","1h",0
"Rathbone_BaconRind_1_5_short_0","5","10h",0
"Rathbone_BaconRind_1_5_short_0","5","100h",1
"Rathbone_BaconRind_1_5_long_1","1","1h",3
"Rathbone_BaconRind_1_5_long_1","1","10h",1
"Rathbone_BaconRind_1_5_long_1","1","100h",1
"Rathbone_BaconRind_1_5_long_1","2","1h",1
"Rathbone_BaconRind_1_5_long_1","2","10h",0
"Rathbone_BaconRind_1_5_long_1","2","100h",2
"Rathbone_BaconRind_1_5_long_1","3","1h",6
"Rathbone_BaconRind_1_5_long_1","3","10h",5
"Rathbone_BaconRind_1_5_long_1","3","100h",3
"Rathbone_BaconRind_1_5_long_1","4","1h",3
"Rathbone_BaconRind_1_5_long_1","4","10h",0
"Rathbone_BaconRind_1_5_long_1","4","100h",1
"Rathbone_BaconRind_1_5_long_1","5","1h",6
"Rathbone_BaconRind_1_5_long_1","5","10h",0
"Rathbone_BaconRind_1_5_long_1","5","100h",0
"Hellroaring_Buffalo_3_2_short_0","1","1h",0
"Hellroaring_Buffalo_3_2_short_0","1","10h",1
"Hellroaring_Buffalo_3_2_short_0","1","100h",10
"Hellroaring_Buffalo_3_2_short_0","2","1h",0
"Hellroaring_Buffalo_3_2_short_0","2","10h",0
"Hellroaring_Buffalo_3_2_short_0","2","100h",3
"Hellroaring_Buffalo_3_2_short_0","3","1h",0
"Hellroaring_Buffalo_3_2_short_0","3","10h",0
"Hellroaring_Buffalo_3_2_short_0","3","100h",1
"Hellroaring_Buffalo_3_2_short_0","4","1h",0
"Hellroaring_Buffalo_3_2_short_0","4","10h",1
"Hellroaring_Buffalo_3_2_short_0","4","100h",1
"Hellroaring_Buffalo_3_2_short_0","5","1h",0
"Hellroaring_Buffalo_3_2_short_0","5","10h",3
"Hellroaring_Buffalo_3_2_short_0","5","100h",5
"Hellroaring_Buffalo_3_2_long_1","1","1h",2
"Hellroaring_Buffalo_3_2_long_1","1","10h",0
"Hellroaring_Buffalo_3_2_long_1","1","100h",0
"Hellroaring_Buffalo_3_2_long_1","2","1h",1
"Hellroaring_Buffalo_3_2_long_1","2","10h",0
"Hellroaring_Buffalo_3_2_long_1","2","100h",0
"Hellroaring_Buffalo_3_2_long_1","3","1h",1
"Hellroaring_Buffalo_3_2_long_1","3","10h",1
"Hellroaring_Buffalo_3_2_long_1","3","100h",2
"Hellroaring_Buffalo_3_2_long_1","4","1h",1
"Hellroaring_Buffalo_3_2_long_1","4","10h",2
"Hellroaring_Buffalo_3_2_long_1","4","100h",0
"Hellroaring_Buffalo_3_2_long_1","5","1h",1
"Hellroaring_Buffalo_3_2_long_1","5","10h",1
"Hellroaring_Buffalo_3_2_long_1","5","100h",3
"IronMtn_Derby_1_1_short_0","1","1h",2
"IronMtn_Derby_1_1_short_0","1","10h",1
"IronMtn_Derby_1_1_short_0","1","100h",1
"IronMtn_Derby_1_1_short_0","2","1h",0
"IronMtn_Derby_1_1_short_0","2","10h",5
"IronMtn_Derby_1_1_short_0","2","100h",7
"IronMtn_Derby_1_1_short_0","3","1h",0
"IronMtn_Derby_1_1_short_0","3","10h",10
"IronMtn_Derby_1_1_short_0","3","100h",16
"IronMtn_Derby_1_1_short_0","4","1h",0
"IronMtn_Derby_1_1_short_0","4","10h",1
"IronMtn_Derby_1_1_short_0","4","100h",9
"IronMtn_Derby_1_1_short_0","5","1h",0
"IronMtn_Derby_1_1_short_0","5","10h",1
"IronMtn_Derby_1_1_short_0","5","100h",7
"IronMtn_Derby_1_1_long_1","1","1h",2
"IronMtn_Derby_1_1_long_1","1","10h",3
"IronMtn_Derby_1_1_long_1","1","100h",1
"IronMtn_Derby_1_1_long_1","2","1h",4
"IronMtn_Derby_1_1_long_1","2","10h",7
"IronMtn_Derby_1_1_long_1","2","100h",2
"IronMtn_Derby_1_1_long_1","3","1h",1
"IronMtn_Derby_1_1_long_1","3","10h",1
"IronMtn_Derby_1_1_long_1","3","100h",0
"IronMtn_Derby_1_1_long_1","4","1h",4
"IronMtn_Derby_1_1_long_1","4","10h",0
"IronMtn_Derby_1_1_long_1","4","100h",6
"IronMtn_Derby_1_1_long_1","5","1h",1
"IronMtn_Derby_1_1_long_1","5","10h",0
"IronMtn_Derby_1_1_long_1","5","100h",10
"IronMtn_Derby_1_5_short_0","1","1h",0
"IronMtn_Derby_1_5_short_0","1","10h",1
"IronMtn_Derby_1_5_short_0","1","100h",4
"IronMtn_Derby_1_5_short_0","2","1h",0
"IronMtn_Derby_1_5_short_0","2","10h",0
"IronMtn_Derby_1_5_short_0","2","100h",2
"IronMtn_Derby_1_5_short_0","3","1h",0
"IronMtn_Derby_1_5_short_0","3","10h",3
"IronMtn_Derby_1_5_short_0","3","100h",5
"IronMtn_Derby_1_5_short_0","4","1h",0
"IronMtn_Derby_1_5_short_0","4","10h",1
"IronMtn_Derby_1_5_short_0","4","100h",3
"IronMtn_Derby_1_5_short_0","5","1h",0
"IronMtn_Derby_1_5_short_0","5","10h",0
"IronMtn_Derby_1_5_short_0","5","100h",11
"IronMtn_Derby_1_5_long_2","1","1h",6
"IronMtn_Derby_1_5_long_2","1","10h",7
"IronMtn_Derby_1_5_long_2","1","100h",1
"IronMtn_Derby_1_5_long_2","2","1h",3
"IronMtn_Derby_1_5_long_2","2","10h",3
"IronMtn_Derby_1_5_long_2","2","100h",5
"IronMtn_Derby_1_5_long_2","3","1h",1
"IronMtn_Derby_1_5_long_2","3","10h",2
"IronMtn_Derby_1_5_long_2","3","100h",1
"IronMtn_Derby_1_5_long_2","4","1h",4
"IronMtn_Derby_1_5_long_2","4","10h",8
"IronMtn_Derby_1_5_long_2","4","100h",7
"IronMtn_Derby_1_5_long_2","5","1h",6
"IronMtn_Derby_1_5_long_2","5","10h",7
"IronMtn_Derby_1_5_long_2","5","100h",3
"Mystic_BearpawBay_1_1_short_0","2","1h",8
"Mystic_BearpawBay_1_1_short_0","2","10h",8
"Mystic_BearpawBay_1_1_short_0","2","100h",7
"Mystic_BearpawBay_1_1_short_0","3","1h",9
"Mystic_BearpawBay_1_1_short_0","3","10h",11
"Mystic_BearpawBay_1_1_short_0","3","100h",13
"Mystic_BearpawBay_1_1_short_0","4","1h",26
"Mystic_BearpawBay_1_1_short_0","4","10h",25
"Mystic_BearpawBay_1_1_short_0","4","100h",5
"Mystic_BearpawBay_1_1_short_0","6","1h",0
"Mystic_BearpawBay_1_1_short_0","6","10h",0
"Mystic_BearpawBay_1_1_short_0","6","100h",0
"Mystic_BearpawBay_1_1_short_0","7","1h",12
"Mystic_BearpawBay_1_1_short_0","7","10h",9
"Mystic_BearpawBay_1_1_short_0","7","100h",0
"Mystic_BearpawBay_1_1_long_1","2","1h",0
"Mystic_BearpawBay_1_1_long_1","2","10h",2
"Mystic_BearpawBay_1_1_long_1","2","100h",2
"Mystic_BearpawBay_1_1_long_1","3","1h",2
"Mystic_BearpawBay_1_1_long_1","3","10h",2
"Mystic_BearpawBay_1_1_long_1","3","100h",5
"Mystic_BearpawBay_1_1_long_1","4","1h",11
"Mystic_BearpawBay_1_1_long_1","4","10h",12
"Mystic_BearpawBay_1_1_long_1","4","100h",7
"Mystic_BearpawBay_1_1_long_1","6","1h",2
"Mystic_BearpawBay_1_1_long_1","6","10h",6
"Mystic_BearpawBay_1_1_long_1","6","100h",6
"Mystic_BearpawBay_1_1_long_1","7","1h",3
"Mystic_BearpawBay_1_1_long_1","7","10h",3
"Mystic_BearpawBay_1_1_long_1","7","100h",4
