"Plot_code","Stem_type","Species","Count","stems_ha"
"Astringent_Tern_1_2_long_2","Sapling_gt_2","ABLA",7,233.333333333333
"Astringent_Tern_1_2_long_2","Sapling_gt_2","D",6,200
"Astringent_Tern_1_2_long_2","Sapling_gt_2","PIAL",17,566.666666666667
"Astringent_Tern_1_2_long_2","Sapling_gt_2","PICO",54,1800
"Astringent_Tern_1_2_long_2","Sapling_gt_2","PIEN",13,433.333333333333
"Astringent_Tern_1_2_long_2","Sapling_gt_2","POTR",0,0
"Astringent_Tern_1_2_long_2","Sapling_gt_2","PSME",0,0
"Astringent_Tern_1_2_long_2","Seedling_lt_2","ABLA",34,1133.33333333333
"Astringent_Tern_1_2_long_2","Seedling_lt_2","PICO",9,300
"Astringent_Tern_1_2_long_2","Seedling_lt_2","PIEN",3,100
"Astringent_Tern_1_2_long_2","Seedling_lt_2","PSME",0,0
"Astringent_Tern_1_2_long_2","Snag","PF",1,33.3333333333333
"Astringent_Tern_1_2_long_2","Snag","RF",0,0
"Astringent_Tern_1_2_long_2","Tree","ABLA",9,300
"Astringent_Tern_1_2_long_2","Tree","D",2,66.6666666666667
"Astringent_Tern_1_2_long_2","Tree","PIAL",2,66.6666666666667
"Astringent_Tern_1_2_long_2","Tree","PICO",119,3966.66666666667
"Astringent_Tern_1_2_long_2","Tree","PIEN",0,0
"Astringent_Tern_1_2_long_2","Tree","POTR",0,0
"Astringent_Tern_1_2_short_0","Sapling_gt_2","ABLA",4,133.333333333333
"Astringent_Tern_1_2_short_0","Sapling_gt_2","D",3,100
"Astringent_Tern_1_2_short_0","Sapling_gt_2","PIAL",0,0
"Astringent_Tern_1_2_short_0","Sapling_gt_2","PICO",79,2633.33333333333
"Astringent_Tern_1_2_short_0","Sapling_gt_2","PIEN",2,66.6666666666667
"Astringent_Tern_1_2_short_0","Sapling_gt_2","POTR",0,0
"Astringent_Tern_1_2_short_0","Sapling_gt_2","PSME",0,0
"Astringent_Tern_1_2_short_0","Seedling_lt_2","ABLA",1,33.3333333333333
"Astringent_Tern_1_2_short_0","Seedling_lt_2","PICO",3,100
"Astringent_Tern_1_2_short_0","Seedling_lt_2","PIEN",0,0
"Astringent_Tern_1_2_short_0","Seedling_lt_2","PSME",0,0
"Astringent_Tern_1_2_short_0","Snag","PF",4,133.333333333333
"Astringent_Tern_1_2_short_0","Snag","RF",0,0
"Astringent_Tern_1_2_short_0","Tree","ABLA",0,0
"Astringent_Tern_1_2_short_0","Tree","D",0,0
"Astringent_Tern_1_2_short_0","Tree","PIAL",0,0
"Astringent_Tern_1_2_short_0","Tree","PICO",6,200
"Astringent_Tern_1_2_short_0","Tree","PIEN",0,0
"Astringent_Tern_1_2_short_0","Tree","POTR",0,0
"Clover_Dewdrop_2_3_long_1","Sapling_gt_2","ABLA",0,0
"Clover_Dewdrop_2_3_long_1","Sapling_gt_2","D",4,133.333333333333
"Clover_Dewdrop_2_3_long_1","Sapling_gt_2","PIAL",7,233.333333333333
"Clover_Dewdrop_2_3_long_1","Sapling_gt_2","PICO",1,33.3333333333333
"Clover_Dewdrop_2_3_long_1","Sapling_gt_2","PIEN",1,33.3333333333333
"Clover_Dewdrop_2_3_long_1","Sapling_gt_2","POTR",0,0
"Clover_Dewdrop_2_3_long_1","Sapling_gt_2","PSME",0,0
"Clover_Dewdrop_2_3_long_1","Seedling_lt_2","ABLA",0,0
"Clover_Dewdrop_2_3_long_1","Seedling_lt_2","PICO",0,0
"Clover_Dewdrop_2_3_long_1","Seedling_lt_2","PIEN",0,0
"Clover_Dewdrop_2_3_long_1","Seedling_lt_2","PSME",0,0
"Clover_Dewdrop_2_3_long_1","Snag","PF",2,66.6666666666667
"Clover_Dewdrop_2_3_long_1","Snag","RF",38,1266.66666666667
"Clover_Dewdrop_2_3_long_1","Tree","ABLA",0,0
"Clover_Dewdrop_2_3_long_1","Tree","D",0,0
"Clover_Dewdrop_2_3_long_1","Tree","PIAL",0,0
"Clover_Dewdrop_2_3_long_1","Tree","PICO",0,0
"Clover_Dewdrop_2_3_long_1","Tree","PIEN",0,0
"Clover_Dewdrop_2_3_long_1","Tree","POTR",0,0
"Clover_Dewdrop_2_3_short_0","Sapling_gt_2","ABLA",0,0
"Clover_Dewdrop_2_3_short_0","Sapling_gt_2","D",0,0
"Clover_Dewdrop_2_3_short_0","Sapling_gt_2","PIAL",5,166.666666666667
"Clover_Dewdrop_2_3_short_0","Sapling_gt_2","PICO",12,400
"Clover_Dewdrop_2_3_short_0","Sapling_gt_2","PIEN",0,0
"Clover_Dewdrop_2_3_short_0","Sapling_gt_2","POTR",0,0
"Clover_Dewdrop_2_3_short_0","Sapling_gt_2","PSME",0,0
"Clover_Dewdrop_2_3_short_0","Seedling_lt_2","ABLA",0,0
"Clover_Dewdrop_2_3_short_0","Seedling_lt_2","PICO",0,0
"Clover_Dewdrop_2_3_short_0","Seedling_lt_2","PIEN",0,0
"Clover_Dewdrop_2_3_short_0","Seedling_lt_2","PSME",0,0
"Clover_Dewdrop_2_3_short_0","Snag","PF",3,100
"Clover_Dewdrop_2_3_short_0","Snag","RF",7,233.333333333333
"Clover_Dewdrop_2_3_short_0","Tree","ABLA",0,0
"Clover_Dewdrop_2_3_short_0","Tree","D",0,0
"Clover_Dewdrop_2_3_short_0","Tree","PIAL",0,0
"Clover_Dewdrop_2_3_short_0","Tree","PICO",0,0
"Clover_Dewdrop_2_3_short_0","Tree","PIEN",0,0
"Clover_Dewdrop_2_3_short_0","Tree","POTR",0,0
"Clover_East_1_1_long_1","Sapling_gt_2","ABLA",6,200
"Clover_East_1_1_long_1","Sapling_gt_2","D",0,0
"Clover_East_1_1_long_1","Sapling_gt_2","PIAL",4,133.333333333333
"Clover_East_1_1_long_1","Sapling_gt_2","PICO",50,1666.66666666667
"Clover_East_1_1_long_1","Sapling_gt_2","PIEN",26,866.666666666667
"Clover_East_1_1_long_1","Sapling_gt_2","POTR",0,0
"Clover_East_1_1_long_1","Sapling_gt_2","PSME",0,0
"Clover_East_1_1_long_1","Seedling_lt_2","ABLA",1,33.3333333333333
"Clover_East_1_1_long_1","Seedling_lt_2","PICO",1,33.3333333333333
"Clover_East_1_1_long_1","Seedling_lt_2","PIEN",0,0
"Clover_East_1_1_long_1","Seedling_lt_2","PSME",0,0
"Clover_East_1_1_long_1","Snag","PF",1,33.3333333333333
"Clover_East_1_1_long_1","Snag","RF",5,166.666666666667
"Clover_East_1_1_long_1","Tree","ABLA",6,200
"Clover_East_1_1_long_1","Tree","D",0,0
"Clover_East_1_1_long_1","Tree","PIAL",0,0
"Clover_East_1_1_long_1","Tree","PICO",47,1566.66666666667
"Clover_East_1_1_long_1","Tree","PIEN",9,300
"Clover_East_1_1_long_1","Tree","POTR",0,0
"Clover_East_1_1_short_0","Sapling_gt_2","ABLA",0,0
"Clover_East_1_1_short_0","Sapling_gt_2","D",0,0
"Clover_East_1_1_short_0","Sapling_gt_2","PIAL",0,0
"Clover_East_1_1_short_0","Sapling_gt_2","PICO",26,866.666666666667
"Clover_East_1_1_short_0","Sapling_gt_2","PIEN",0,0
"Clover_East_1_1_short_0","Sapling_gt_2","POTR",0,0
"Clover_East_1_1_short_0","Sapling_gt_2","PSME",0,0
"Clover_East_1_1_short_0","Seedling_lt_2","ABLA",0,0
"Clover_East_1_1_short_0","Seedling_lt_2","PICO",3,100
"Clover_East_1_1_short_0","Seedling_lt_2","PIEN",0,0
"Clover_East_1_1_short_0","Seedling_lt_2","PSME",0,0
"Clover_East_1_1_short_0","Snag","PF",0,0
"Clover_East_1_1_short_0","Snag","RF",0,0
"Clover_East_1_1_short_0","Tree","ABLA",0,0
"Clover_East_1_1_short_0","Tree","D",0,0
"Clover_East_1_1_short_0","Tree","PIAL",0,0
"Clover_East_1_1_short_0","Tree","PICO",14,466.666666666667
"Clover_East_1_1_short_0","Tree","PIEN",0,0
"Clover_East_1_1_short_0","Tree","POTR",0,0
"Clover_LeHardy_1_1_long_2","Sapling_gt_2","ABLA",4,133.333333333333
"Clover_LeHardy_1_1_long_2","Sapling_gt_2","D",0,0
"Clover_LeHardy_1_1_long_2","Sapling_gt_2","PIAL",34,1133.33333333333
"Clover_LeHardy_1_1_long_2","Sapling_gt_2","PICO",32,1066.66666666667
"Clover_LeHardy_1_1_long_2","Sapling_gt_2","PIEN",7,233.333333333333
"Clover_LeHardy_1_1_long_2","Sapling_gt_2","POTR",0,0
"Clover_LeHardy_1_1_long_2","Sapling_gt_2","PSME",0,0
"Clover_LeHardy_1_1_long_2","Seedling_lt_2","ABLA",0,0
"Clover_LeHardy_1_1_long_2","Seedling_lt_2","PICO",0,0
"Clover_LeHardy_1_1_long_2","Seedling_lt_2","PIEN",0,0
"Clover_LeHardy_1_1_long_2","Seedling_lt_2","PSME",0,0
"Clover_LeHardy_1_1_long_2","Snag","PF",2,66.6666666666667
"Clover_LeHardy_1_1_long_2","Snag","RF",18,600
"Clover_LeHardy_1_1_long_2","Tree","ABLA",0,0
"Clover_LeHardy_1_1_long_2","Tree","D",0,0
"Clover_LeHardy_1_1_long_2","Tree","PIAL",0,0
"Clover_LeHardy_1_1_long_2","Tree","PICO",20,666.666666666667
"Clover_LeHardy_1_1_long_2","Tree","PIEN",0,0
"Clover_LeHardy_1_1_long_2","Tree","POTR",0,0
"Clover_LeHardy_1_1_short_0","Sapling_gt_2","ABLA",1,33.3333333333333
"Clover_LeHardy_1_1_short_0","Sapling_gt_2","D",0,0
"Clover_LeHardy_1_1_short_0","Sapling_gt_2","PIAL",13,433.333333333333
"Clover_LeHardy_1_1_short_0","Sapling_gt_2","PICO",100,3333.33333333333
"Clover_LeHardy_1_1_short_0","Sapling_gt_2","PIEN",2,66.6666666666667
"Clover_LeHardy_1_1_short_0","Sapling_gt_2","POTR",0,0
"Clover_LeHardy_1_1_short_0","Sapling_gt_2","PSME",0,0
"Clover_LeHardy_1_1_short_0","Seedling_lt_2","ABLA",0,0
"Clover_LeHardy_1_1_short_0","Seedling_lt_2","PICO",0,0
"Clover_LeHardy_1_1_short_0","Seedling_lt_2","PIEN",0,0
"Clover_LeHardy_1_1_short_0","Seedling_lt_2","PSME",0,0
"Clover_LeHardy_1_1_short_0","Snag","PF",2,66.6666666666667
"Clover_LeHardy_1_1_short_0","Snag","RF",2,66.6666666666667
"Clover_LeHardy_1_1_short_0","Tree","ABLA",0,0
"Clover_LeHardy_1_1_short_0","Tree","D",0,0
"Clover_LeHardy_1_1_short_0","Tree","PIAL",0,0
"Clover_LeHardy_1_1_short_0","Tree","PICO",64,2133.33333333333
"Clover_LeHardy_1_1_short_0","Tree","PIEN",0,0
"Clover_LeHardy_1_1_short_0","Tree","POTR",0,0
"Glade_Berry_1_1_long_2","Sapling_gt_2","ABLA",0,0
"Glade_Berry_1_1_long_2","Sapling_gt_2","D",0,0
"Glade_Berry_1_1_long_2","Sapling_gt_2","PIAL",0,0
"Glade_Berry_1_1_long_2","Sapling_gt_2","PICO",63,2100
"Glade_Berry_1_1_long_2","Sapling_gt_2","PIEN",0,0
"Glade_Berry_1_1_long_2","Sapling_gt_2","POTR",0,0
"Glade_Berry_1_1_long_2","Sapling_gt_2","PSME",0,0
"Glade_Berry_1_1_long_2","Seedling_lt_2","ABLA",0,0
"Glade_Berry_1_1_long_2","Seedling_lt_2","PICO",0,0
"Glade_Berry_1_1_long_2","Seedling_lt_2","PIEN",0,0
"Glade_Berry_1_1_long_2","Seedling_lt_2","PSME",0,0
"Glade_Berry_1_1_long_2","Snag","PF",0,0
"Glade_Berry_1_1_long_2","Snag","RF",100,3333.33333333333
"Glade_Berry_1_1_long_2","Tree","ABLA",0,0
"Glade_Berry_1_1_long_2","Tree","D",0,0
"Glade_Berry_1_1_long_2","Tree","PIAL",0,0
"Glade_Berry_1_1_long_2","Tree","PICO",0,0
"Glade_Berry_1_1_long_2","Tree","PIEN",0,0
"Glade_Berry_1_1_long_2","Tree","POTR",0,0
"Glade_Berry_1_1_short_0","Sapling_gt_2","ABLA",0,0
"Glade_Berry_1_1_short_0","Sapling_gt_2","D",0,0
"Glade_Berry_1_1_short_0","Sapling_gt_2","PIAL",0,0
"Glade_Berry_1_1_short_0","Sapling_gt_2","PICO",86,2866.66666666667
"Glade_Berry_1_1_short_0","Sapling_gt_2","PIEN",0,0
"Glade_Berry_1_1_short_0","Sapling_gt_2","POTR",98,3266.66666666667
"Glade_Berry_1_1_short_0","Sapling_gt_2","PSME",0,0
"Glade_Berry_1_1_short_0","Seedling_lt_2","ABLA",0,0
"Glade_Berry_1_1_short_0","Seedling_lt_2","PICO",0,0
"Glade_Berry_1_1_short_0","Seedling_lt_2","PIEN",0,0
"Glade_Berry_1_1_short_0","Seedling_lt_2","PSME",0,0
"Glade_Berry_1_1_short_0","Snag","PF",0,0
"Glade_Berry_1_1_short_0","Snag","RF",27,900
"Glade_Berry_1_1_short_0","Tree","ABLA",0,0
"Glade_Berry_1_1_short_0","Tree","D",0,0
"Glade_Berry_1_1_short_0","Tree","PIAL",0,0
"Glade_Berry_1_1_short_0","Tree","PICO",0,0
"Glade_Berry_1_1_short_0","Tree","PIEN",0,0
"Glade_Berry_1_1_short_0","Tree","POTR",31,1033.33333333333
"Glade_Berry_4_4_long_2","Sapling_gt_2","ABLA",0,0
"Glade_Berry_4_4_long_2","Sapling_gt_2","D",0,0
"Glade_Berry_4_4_long_2","Sapling_gt_2","PIAL",0,0
"Glade_Berry_4_4_long_2","Sapling_gt_2","PICO",4018,133933.333333333
"Glade_Berry_4_4_long_2","Sapling_gt_2","PIEN",3,100
"Glade_Berry_4_4_long_2","Sapling_gt_2","POTR",6,200
"Glade_Berry_4_4_long_2","Sapling_gt_2","PSME",2,66.6666666666667
"Glade_Berry_4_4_long_2","Seedling_lt_2","ABLA",0,0
"Glade_Berry_4_4_long_2","Seedling_lt_2","PICO",0,0
"Glade_Berry_4_4_long_2","Seedling_lt_2","PIEN",0,0
"Glade_Berry_4_4_long_2","Seedling_lt_2","PSME",0,0
"Glade_Berry_4_4_long_2","Snag","PF",6,200
"Glade_Berry_4_4_long_2","Snag","RF",59,1966.66666666667
"Glade_Berry_4_4_long_2","Tree","ABLA",0,0
"Glade_Berry_4_4_long_2","Tree","D",0,0
"Glade_Berry_4_4_long_2","Tree","PIAL",0,0
"Glade_Berry_4_4_long_2","Tree","PICO",0,0
"Glade_Berry_4_4_long_2","Tree","PIEN",0,0
"Glade_Berry_4_4_long_2","Tree","POTR",0,0
"Glade_Berry_4_4_short_0","Sapling_gt_2","ABLA",1,33.3333333333333
"Glade_Berry_4_4_short_0","Sapling_gt_2","D",1,33.3333333333333
"Glade_Berry_4_4_short_0","Sapling_gt_2","PIAL",0,0
"Glade_Berry_4_4_short_0","Sapling_gt_2","PICO",37,1233.33333333333
"Glade_Berry_4_4_short_0","Sapling_gt_2","PIEN",1,33.3333333333333
"Glade_Berry_4_4_short_0","Sapling_gt_2","POTR",39,1300
"Glade_Berry_4_4_short_0","Sapling_gt_2","PSME",0,0
"Glade_Berry_4_4_short_0","Seedling_lt_2","ABLA",0,0
"Glade_Berry_4_4_short_0","Seedling_lt_2","PICO",2,66.6666666666667
"Glade_Berry_4_4_short_0","Seedling_lt_2","PIEN",0,0
"Glade_Berry_4_4_short_0","Seedling_lt_2","PSME",0,0
"Glade_Berry_4_4_short_0","Snag","PF",1,33.3333333333333
"Glade_Berry_4_4_short_0","Snag","RF",159,5300
"Glade_Berry_4_4_short_0","Tree","ABLA",0,0
"Glade_Berry_4_4_short_0","Tree","D",1,33.3333333333333
"Glade_Berry_4_4_short_0","Tree","PIAL",0,0
"Glade_Berry_4_4_short_0","Tree","PICO",0,0
"Glade_Berry_4_4_short_0","Tree","PIEN",0,0
"Glade_Berry_4_4_short_0","Tree","POTR",4,133.333333333333
"Hellroaring_Buffalo_3_2_long_1","Sapling_gt_2","ABLA",3,100
"Hellroaring_Buffalo_3_2_long_1","Sapling_gt_2","D",0,0
"Hellroaring_Buffalo_3_2_long_1","Sapling_gt_2","PIAL",0,0
"Hellroaring_Buffalo_3_2_long_1","Sapling_gt_2","PICO",16,533.333333333333
"Hellroaring_Buffalo_3_2_long_1","Sapling_gt_2","PIEN",2,66.6666666666667
"Hellroaring_Buffalo_3_2_long_1","Sapling_gt_2","POTR",1,33.3333333333333
"Hellroaring_Buffalo_3_2_long_1","Sapling_gt_2","PSME",2,66.6666666666667
"Hellroaring_Buffalo_3_2_long_1","Seedling_lt_2","ABLA",0,0
"Hellroaring_Buffalo_3_2_long_1","Seedling_lt_2","PICO",0,0
"Hellroaring_Buffalo_3_2_long_1","Seedling_lt_2","PIEN",0,0
"Hellroaring_Buffalo_3_2_long_1","Seedling_lt_2","PSME",0,0
"Hellroaring_Buffalo_3_2_long_1","Snag","PF",6,200
"Hellroaring_Buffalo_3_2_long_1","Snag","RF",49,1633.33333333333
"Hellroaring_Buffalo_3_2_long_1","Tree","ABLA",0,0
"Hellroaring_Buffalo_3_2_long_1","Tree","D",0,0
"Hellroaring_Buffalo_3_2_long_1","Tree","PIAL",0,0
"Hellroaring_Buffalo_3_2_long_1","Tree","PICO",0,0
"Hellroaring_Buffalo_3_2_long_1","Tree","PIEN",0,0
"Hellroaring_Buffalo_3_2_long_1","Tree","POTR",0,0
"Hellroaring_Buffalo_3_2_short_0","Sapling_gt_2","ABLA",1,33.3333333333333
"Hellroaring_Buffalo_3_2_short_0","Sapling_gt_2","D",0,0
"Hellroaring_Buffalo_3_2_short_0","Sapling_gt_2","PIAL",0,0
"Hellroaring_Buffalo_3_2_short_0","Sapling_gt_2","PICO",36,1200
"Hellroaring_Buffalo_3_2_short_0","Sapling_gt_2","PIEN",2,66.6666666666667
"Hellroaring_Buffalo_3_2_short_0","Sapling_gt_2","POTR",5,166.666666666667
"Hellroaring_Buffalo_3_2_short_0","Sapling_gt_2","PSME",1,33.3333333333333
"Hellroaring_Buffalo_3_2_short_0","Seedling_lt_2","ABLA",0,0
"Hellroaring_Buffalo_3_2_short_0","Seedling_lt_2","PICO",0,0
"Hellroaring_Buffalo_3_2_short_0","Seedling_lt_2","PIEN",0,0
"Hellroaring_Buffalo_3_2_short_0","Seedling_lt_2","PSME",0,0
"Hellroaring_Buffalo_3_2_short_0","Snag","PF",0,0
"Hellroaring_Buffalo_3_2_short_0","Snag","RF",59,1966.66666666667
"Hellroaring_Buffalo_3_2_short_0","Tree","ABLA",0,0
"Hellroaring_Buffalo_3_2_short_0","Tree","D",0,0
"Hellroaring_Buffalo_3_2_short_0","Tree","PIAL",0,0
"Hellroaring_Buffalo_3_2_short_0","Tree","PICO",0,0
"Hellroaring_Buffalo_3_2_short_0","Tree","PIEN",0,0
"Hellroaring_Buffalo_3_2_short_0","Tree","POTR",0,0
"Huck_Berry_1_2_long_2","Sapling_gt_2","ABLA",1,33.3333333333333
"Huck_Berry_1_2_long_2","Sapling_gt_2","D",0,0
"Huck_Berry_1_2_long_2","Sapling_gt_2","PIAL",0,0
"Huck_Berry_1_2_long_2","Sapling_gt_2","PICO",158,5266.66666666667
"Huck_Berry_1_2_long_2","Sapling_gt_2","PIEN",1,33.3333333333333
"Huck_Berry_1_2_long_2","Sapling_gt_2","POTR",0,0
"Huck_Berry_1_2_long_2","Sapling_gt_2","PSME",0,0
