"Plot_code","DBH_cm","Height_m","CBH_m","stems_ha","crown_live_Mg_ha","crown_dead_Mg_ha","stem_Mg_ha","total_Mg_ha","foliage_live_Mg_ha","branch1h_live_Mg_ha","branch10h_live_Mg_ha","branch100h_live_Mg_ha","foliage_dead_Mg_ha","branch1h_dead_Mg_ha","cfl_Mg_ha","cbh_cbdcutoff","cbd_kg_m3"
"Astringent_Tern_1_2_long_2",6.86892307692308,4.49303846153846,0.915423076923077,4333.33333333334,20.2867052453224,1.93324111849447,41.4152538281292,63.635200191946,8.97994390505237,5.47146269137481,5.41092019784854,0.424378451046652,0.745032273526437,1.18820884496803,16.3846477149217,0.125,0.535287376413544
"Astringent_Tern_1_2_short_0",5.52,3.2,0.28,200,0.566090110234051,0.032395906104846,0.98855488087002,1.58704089720892,0.25859102203323,0.155444236368128,0.149424631788648,0.00263022004404425,0.017297315181222,0.0150985909236241,0.446431164506205,0.125,0.0173576574826356
"Clover_East_1_1_long_1",3.79863671274962,2.74719662058372,0.301017665130568,2066.66666666667,4.13565677972405,0.186742677470597,6.18125756600585,10.5036570232005,1.98756913793027,1.12760984491265,1.00728737795105,0.013190418930073,0.099988156570791,0.0867545208998064,3.30192166031352,0.125,0.157585944418769
"Clover_East_1_1_short_0",3.37142857142857,2.5,0.171428571428571,466.666666666667,0.642118664819652,0.0227725162965067,0.938582347919896,1.60347352903605,0.302352972933355,0.177071597869941,0.162694094016356,0,0.0140545642981435,0.00871795199836319,0.502197087099802,0.125,0.0254791826200961
"Clover_LeHardy_1_1_long_2",1.89090909090909,1.88181818181818,0.209090909090909,666.666666666667,0.368133509929798,0.00014434856554731,0.335031277867647,0.703309136362992,0.187603607693941,0.100465909544677,0.0800639926911805,0,0.00014434856554731,0,0.288213865804165,0.125,0.01689347323052
"Clover_LeHardy_1_1_short_0",1.89090909090909,1.87272727272727,0.263636363636364,2133.33333333333,1.1683109361871,0.00200049909758702,1.15384733870442,2.32415877398911,0.589024407328117,0.320296443158221,0.258990085700763,0,0.00200049909758702,0,0.911321349583925,0.125,0.0574403111393658
"IronMtn_Derby_1_1_long_1",3.29130434782609,2.75217391304348,0.356521739130435,8600,10.2354394048692,0.143817393128829,10.970284418806,21.3495412168041,4.95131464053374,2.8358055894188,2.44831917491671,0,0.118569096545543,0.0252482965832854,7.93093762308136,0.125,0.361704622908706
"IronMtn_Derby_1_1_short_0",2.39,1.94,0.1,533.333333333333,0.347152769707018,0.00261186762813562,0.391976703388927,0.74174134072408,0.172702849814349,0.0953850548633404,0.0790648650293285,0,0.0024035745414099,0.000208293086725717,0.270699772305825,0.125,0.0157528824996154
"IronMtn_Derby_1_5_long_2",3.068,2.7,0.564,13800,16.5958626667989,0.221476068273007,16.3351011080345,33.1524398431064,8.05685737691558,4.59046403951094,3.94854125037235,0,0.168436714785515,0.0530393534874927,12.8687974846995,0.375,0.647782008063313
"IronMtn_Derby_1_5_short_0",2.42857142857143,1.98571428571429,0.185714285714286,700,0.424328846393088,0.0015239083418814,0.461627839742079,0.887480594477049,0.211760225658696,0.11682908781065,0.095739532923742,0,0.0015239083418814,0,0.330113221811227,0.125,0.0182134549727787
"Mystic_BearpawBay_1_1_long_1",3.22916666666667,2.92083333333333,0.220833333333333,9300,12.8904362302563,0.262675166420878,14.6100681679924,27.7631795646697,6.23011079516733,3.55464149184925,3.10568394323976,0,0.188542806373343,0.0741323600475347,10.0474274534375,0.125,0.411407811644837
"Mystic_BearpawBay_1_1_short_0",2.24705882352941,2.14705882352941,0.164705882352941,2600,1.91178727433022,0.0108010520800133,1.83352025086563,3.75610857727586,0.95394660453896,0.525189653903321,0.432651015887937,0,0.00976784675970777,0.00103320532030557,1.48993731052229,0.125,0.0808081012558697
"Mystic_BearpawBay_2_3_long_3",1.1304347826087,1.7695652173913,0.682608695652174,61466.6666666667,30.011533634924,0,26.8272460548308,56.8387796897548,15.6059974901605,8.10311408142949,6.30242206333405,0,0,0,23.70911157159,0.625,2.13504530187788
"Mystic_BearpawBay_2_3_short_0",2.56666666666667,2.24666666666667,0.2,1533.33333333333,1.20999603489598,0.00595309737249823,1.14934087068014,2.36529000294862,0.595155626366764,0.335013660070764,0.279826748458453,0,0.00591373627897665,3.93610935215873e-05,0.936122383810027,0.125,0.0461352276930805
"NFork_Cygnet_1_1_long_3",1.15714285714286,1.62857142857143,0.114285714285714,1533.33333333333,0.62342374351749,0,0.637319428755656,1.26074317227315,0.324180346629095,0.168324410749722,0.130918986138673,0,0,0,0.492504757378817,0.125,0.0306275906283279
"NFork_Cygnet_1_1_short_0",1.6,1.8,0.1,33.3333333333333,0.0163962488051712,0,0.0135656557505115,0.0299619045556827,0.00852604937868902,0.00442698717739622,0.00344321224908595,0,0,0,0.0129530365560852,NA,0.000740173517490585
"NFork_Cygnet_2_2_long_2",1.27692307692308,1.64615384615385,0.207692307692308,1100,0.456549110248834,0,0.451364893393171,0.907914003642005,0.237405537329394,0.123268259767185,0.0958753131522551,0,0,0,0.360673797096579,0.125,0.0240137520152787
"NFork_Owl_2_1_long_1",2.665,2.38,0.15,2066.66666666667,1.87140562304667,0.0230610920823992,2.02466867516399,3.91913539029307,0.921764835322272,0.514699799604062,0.43494098812034,0,0.0195033904796851,0.00355770160271412,1.45952572700873,0.125,0.0693490098991276
"NFork_Owl_2_1_short_0",2.02,2.03333333333333,0.1,1100,0.714198331442534,0.00187877808525124,0.656509731603943,1.37258684113173,0.355270678870914,0.196983540994556,0.161944111577064,0,0.00187877808525124,0,0.554132997950722,0.125,0.0288749654402133
"Pelican_LeHardy_1_5_long_1",3.01666666666667,2.24166666666667,0.225,1166.66666666667,0.967055046300604,0.0101046478158815,1.16234207861616,2.13950177273265,0.469056471838648,0.268602362080294,0.229396212381662,0,0.00982220721210229,0.000282440603779216,0.747763481734824,0.125,0.0375690668526114
"Pelican_LeHardy_1_5_short_0",2.632,2.324,0.3,7433.33333333333,7.21131727671619,0.108408489856948,8.00140460228805,15.3211303688612,3.52700260617654,1.98553779803004,1.69877687250961,0,0.0827451336408082,0.0256633562161397,5.62094889406353,0.125,0.303860575652365
"Waterfalls_Moran_1_1_long_3",5.85454545454546,3.77954545454545,0.290909090909091,366.666666666667,1.14256623456189,0.059154564974313,1.85345824997244,3.05517904950864,0.53426982243513,0.312613264738771,0.291140354783514,0.00454279260447233,0.0317143874186277,0.0274401775556852,0.906037652148214,0.125,0.0260911767675627
"Waterfalls_Moran_1_1_short_0",15.9,5.8,0.3,33.3333333333333,0.5393140928873,0.0742937012209709,1.35755890718851,1.97116670129678,0.22638239869902,0.143374740638641,0.148719046039418,0.0208379075102204,0.0250296472183883,0.0492640540025827,0.444050840558632,NA,0.00807365164652058
